iter	R2	RMSE
145	0.9941123488	56.88910246
146	0.9941323182	56.79254407
147	0.9941479423	56.71688178
148	0.9941695448	56.61210163
149	0.9941837905	56.54289847
150	0.9942027656	56.45058889
151	0.9942139719	56.39600161
152	0.9942388508	56.27462477
153	0.9942583713	56.17920585
154	0.9942903798	56.02239297
155	0.9943077947	55.9368908
156	0.9943195459	55.87912169
157	0.9943541996	55.70841526
158	0.9943659166	55.65057813
159	0.9943746557	55.60740107
160	0.9943904012	55.52952339
161	0.9944045693	55.45935365
162	0.9944161234	55.40206466
163	0.9944259724	55.35318317
164	0.9944367525	55.29963126
165	0.9944518072	55.22475766
166	0.9944601132	55.18340438
167	0.9944698681	55.13479803
168	0.9944840516	55.06404886
169	0.9945054774	54.957001
170	0.994525118	54.85868912
171	0.994534584	54.8112437
172	0.9945435301	54.76636611
173	0.9945544378	54.7115989
174	0.9945679238	54.64380999
175	0.9945801681	54.58218948
176	0.9946246819	54.35758207
177	0.9946352668	54.30403614
178	0.9946460493	54.24943607
179	0.9946634369	54.16127365
180	0.9946791839	54.08130584
181	0.9946999953	53.97543751
182	0.9947074653	53.9373867
183	0.9947218931	53.86381836
184	0.9947349271	53.79726998
185	0.9947400395	53.7711454
186	0.9947484805	53.72798283
187	0.9947614421	53.66163722
188	0.9947709891	53.61271693
189	0.9947766201	53.58384219
190	0.9947877951	53.52649235
191	0.9948002154	53.46267932
192	0.9948057892	53.43401765
193	0.9948148076	53.38761051
194	0.9948229853	53.34549426
195	0.9948350998	53.28304206
196	0.9948472338	53.22041581
197	0.9948531932	53.1896308
198	0.9948645752	53.13078468
199	0.9948748531	53.07759117
200	0.9948803715	53.04900841
201	0.9948937691	52.97955078
202	0.9949195465	52.84565519
203	0.9949248444	52.81809384
204	0.9949431046	52.72298966
205	0.9949782824	52.53928877
206	0.9949821392	52.5191091
207	0.9949862191	52.49775359
208	0.9949901665	52.47708367
209	0.9950095208	52.37561892
210	0.9950168561	52.33711271
211	0.9950258683	52.28976453
212	0.99503702	52.23111612
213	0.9950667218	52.07458876
214	0.9950889086	51.95735734
215	0.9950967086	51.91608056
216	0.9951048569	51.87292553
217	0.9951142393	51.82318964
218	0.9951242927	51.7698441
219	0.9951303657	51.73759304
220	0.9951344187	51.71605754
221	0.9951429952	51.67045819
222	0.9951468612	51.64988983
223	0.9951605788	51.57684312
224	0.9951660289	51.54779203
225	0.9951731368	51.50988021
226	0.9951861776	51.44025066
227	0.995195672	51.38949754
228	0.9952004322	51.36403248
229	0.9952081157	51.32290241
230	0.9952191135	51.26397309
231	0.9952240596	51.23744845
232	0.9952386267	51.15924899
233	0.9952451135	51.12438815
234	0.995255621	51.06786861
235	0.9952592227	51.04848071
236	0.995262557	51.030526
237	0.9952694026	50.99364282
238	0.9952836359	50.91687122
239	0.9952858802	50.90475525
240	0.9952929973	50.86631388
241	0.9952950615	50.8551596
242	0.995300964	50.82324947
243	0.9953060649	50.79565743
244	0.9953130208	50.75800654
245	0.9953175964	50.73322478
246	0.9953211921	50.71374136
247	0.9953269877	50.68232249
248	0.9953305453	50.66302615
249	0.9953355162	50.63605251
250	0.9953414942	50.60359433
251	0.9953454431	50.582142
252	0.9953477747	50.5694712
253	0.9953594494	50.50598004
254	0.9953655291	50.47288415
255	0.9953715611	50.44002694
256	0.9953853398	50.36489214
257	0.9953933442	50.32119293
258	0.9953975166	50.29839872
259	0.9954053673	50.25548207
260	0.9954115437	50.22169246
261	0.9954211252	50.16922901
262	0.9954305826	50.11739152
263	0.9954413715	50.05819045
264	0.9954508034	50.0063776
265	0.9954619885	49.94486453
266	0.9954713331	49.89341532
267	0.9954772828	49.86062997
268	0.9954822262	49.83337329
269	0.9954869711	49.80719718
270	0.9954975752	49.74864738
271	0.9955082831	49.68945519
272	0.9955107353	49.67588945
273	0.9955176496	49.63761963
274	0.9955261105	49.59074934
275	0.9955397066	49.51533929
276	0.9955449289	49.48634359
277	0.995548612	49.4658836
278	0.995556188	49.42377158
279	0.995564252	49.37890753
280	0.9955721809	49.33475525
281	0.9955735581	49.3270825
282	0.9955787391	49.2982063
283	0.9955877108	49.2481625
284	0.9955892718	49.23944993
285	0.9955937168	49.21463279
286	0.995608633	49.13126111
287	0.9956135161	49.10393726
288	0.9956203082	49.06590589
289	0.9956232468	49.04944222
290	0.9956240944	49.04469242
291	0.9956286362	49.01923389
292	0.9956360295	48.97776319
293	0.9956396716	48.95732083
294	0.995656646	48.86193459
295	0.9956606446	48.83943758
296	0.9956663464	48.80734022
297	0.9956726569	48.77179143
298	0.9956744296	48.76180095
299	0.9956781401	48.74088221
300	0.9956827739	48.71474598
301	0.9956876789	48.68706452
302	0.9957000361	48.61725679
303	0.9957047383	48.59066674
304	0.9957106168	48.55740511
305	0.9957117639	48.55091179
306	0.9957166007	48.52352318
307	0.9957195861	48.50661056
308	0.9957223132	48.49115561
309	0.9957269838	48.46467599
310	0.9957397591	48.39217267
311	0.9957468169	48.3520712
312	0.9957514934	48.32548183
313	0.9957527412	48.31838444
314	0.9957589854	48.28285356
315	0.995760772	48.27268235
316	0.9957672728	48.23565542
317	0.9957729742	48.20315832
318	0.9957785563	48.17132004
319	0.9957852258	48.13325178
320	0.9957967823	48.0672177
321	0.9957990197	48.05442304
322	0.9958065444	48.01136667
323	0.9958106036	47.98812371
324	0.9958121897	47.97903903
325	0.995817171	47.9504958
326	0.9958191308	47.93926075
327	0.9958278467	47.88926543
328	0.9958363231	47.84059291
329	0.9958464484	47.78238811
330	0.9958531453	47.74385181
331	0.9958581266	47.71516793
332	0.9958609557	47.69886932
333	0.9958621782	47.6918247
334	0.9958688195	47.65353593
